Theft Status,Occurrence Hour,Occurrence Month,Premises Type,Bike Cost
1,19,8,Outdoors,400
1,10,8,Other,600
1,3,7,Residential,500
1,9,8,Outdoors,500
1,3,7,Residential,800
1,3,7,Residential,800
1,3,7,Residential,500
1,13,8,Residential,500
1,13,8,Residential,540
1,2,8,Residential,790
1,12,8,Residential,690
1,12,7,Residential,1600
1,11,8,Other,600
1,14,8,Residential,600
1,7,7,Outdoors,600
1,13,8,Residential,700
1,21,8,Residential,160
1,15,7,Outdoors,400
1,2,8,Other,600
1,14,8,Residential,1700
1,14,8,Residential,1500
1,19,8,Outdoors,500
1,19,8,Residential,1100
1,16,8,Residential,500
1,21,8,Outdoors,1200
1,12,8,Outdoors,530
1,20,8,Residential,500
1,12,8,Residential,450
1,22,8,Outdoors,350
1,8,8,Outdoors,600
1,22,8,Outdoors,300
1,19,6,Residential,300
1,20,8,Outdoors,500
1,19,6,Residential,250
1,19,6,Residential,200
1,8,8,Outdoors,650
1,23,8,Outdoors,300
1,19,6,Residential,150
1,0,8,Residential,200
1,21,8,Other,565
1,0,8,Outdoors,1100
1,16,8,Residential,600
1,21,8,Residential,250
0,19,8,Residential,500
1,20,7,Residential,100
1,10,8,Outdoors,600
1,15,8,Residential,599
1,22,8,Residential,900
1,12,8,Outdoors,836
1,20,8,Residential,700
1,0,8,Outdoors,500
1,11,8,Other,1000
1,2,8,Residential,175
1,10,8,Other,734.5
1,16,8,Residential,0
1,17,8,Outdoors,500
1,17,8,Residential,666.650024414063
1,6,8,Outdoors,200
1,11,8,Other,250
1,22,8,Other,600
1,0,7,Residential,1200
1,10,8,Residential,2000
1,21,7,Residential,500
1,9,8,Outdoors,65
1,9,8,Outdoors,500
1,21,8,Residential,700
1,15,8,Residential,187.490005493164
1,0,8,Residential,300
1,0,8,Outdoors,400
1,22,8,Other,600
1,15,8,Residential,40
1,20,8,Residential,1900
1,15,8,Residential,65
1,13,8,Outdoors,500
1,21,8,Residential,650
1,18,8,Residential,688
1,12,8,Residential,500
1,2,8,Other,0
1,15,8,Outdoors,300
1,7,8,Other,1300
1,19,8,Outdoors,800
1,18,8,Residential,300
1,11,8,Residential,600
1,0,12,Residential,350
1,0,8,Residential,300
1,19,8,Other,1200
1,2,8,Residential,1500
1,2,8,Outdoors,1000
0,23,8,Residential,750
1,23,8,Residential,1200
1,0,8,Residential,540
1,20,8,Residential,529
1,20,8,Outdoors,300
1,16,8,Residential,800
1,9,8,Outdoors,850
1,12,8,Residential,500
1,15,8,Other,300
1,10,8,Residential,1000
0,0,8,Residential,700
1,10,8,Outdoors,900
1,23,8,Residential,400
1,7,8,Residential,399.989990234375
1,20,8,Other,450
1,17,8,Outdoors,1300
1,19,8,Other,0
1,23,8,Residential,1800
1,15,8,Outdoors,1000
1,23,8,Residential,1800
1,23,8,Residential,299.989990234375
1,17,8,Residential,350
1,1,7,Outdoors,850
1,10,8,Residential,200
1,8,8,Outdoors,640
1,21,8,Residential,75
1,10,8,Residential,50
1,16,8,Outdoors,500
1,10,8,Residential,50
1,19,8,Residential,1150
1,12,8,Residential,600
1,21,8,Residential,180
1,11,8,Outdoors,1300
1,3,8,Residential,700
1,23,8,Residential,725
1,20,8,Residential,650
1,10,8,Outdoors,500
1,8,8,Other,579.989990234375
1,1,6,Residential,700
1,19,8,Residential,588.700012207031
1,18,8,Residential,1000
1,23,8,Other,200
0,13,8,Residential,200
1,4,8,Residential,500
1,1,8,Residential,900
1,2,8,Residential,1000
1,2,8,Residential,600
1,8,8,Residential,400
1,20,8,Residential,0
1,20,8,Residential,1000
1,12,8,Outdoors,300
1,1,8,Residential,200
1,18,8,Outdoors,600
1,19,8,Other,0
1,0,8,Other,600
1,12,8,Outdoors,300
1,19,8,Outdoors,400
1,1,8,Residential,232
1,19,8,Other,200
1,12,8,Other,200
1,13,8,Residential,200
1,13,8,Residential,829
1,17,8,Residential,300
1,9,8,Residential,500
1,8,8,Residential,2000
1,21,8,Other,300
1,21,8,Residential,600
1,19,8,Residential,1062
1,9,8,Residential,599.989990234375
1,21,8,Residential,700
1,9,6,Residential,200
1,10,8,Outdoors,600
1,7,8,Residential,600
1,9,8,Residential,500
1,2,8,Outdoors,1200
1,13,8,Residential,2000
1,11,8,Residential,400
1,0,8,Residential,750
1,9,8,Residential,500
1,9,8,Residential,450
1,13,8,Residential,700
1,14,8,Residential,75
